Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,â‰¤3,â‰¥10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
26,ATL,29-53,17-24,29-Dec,16-36,13-17,14-Apr,12-Jun,10-Jun,5-May,6-Apr,4/6/2020,19-39,14-Oct,6-Sep,31-Jul,5-Feb,3/13/2020,6/7/2020,5/9/2020,5/7/2020,8-Jul,4-Jan
9,BOS,49-33,28-13,21-20,35-17,14-16,6-Oct,13-5,6-Dec,6-Apr,5-May,5/5/2020,37-21,12-Dec,6-May,24-12,2-May,7/8/2020,9/5/2020,11/4/2020,5/6/2020,7-Aug,1-Apr
14,BKN,42-40,23-18,19-22,29-23,13-17,8-Aug,8-Oct,7-Nov,8-Feb,4-Jun,5/5/2020,30-29,11-Dec,8-Dec,16-22,5-Mar,5/10/2020,9/6/2020,11/4/2020,4/6/2020,7-Jul,2-Mar
17,CHA,39-43,25-16,14-27,29-23,20-Oct,10-Aug,7-Nov,6-Oct,8-Feb,7-Mar,5/5/2020,27-30,13-Dec,10-Jun,21-20,4-Apr,7/7/2020,7/7/2020,6/8/2020,4/7/2020,8-Jul,2-Apr
27,CHI,22-60,Sep-32,13-28,16-36,24-Jun,14-Apr,13-Mar,9-Sep,9-Jan,8-Feb,3/7/2020,14-44,16-Aug,8-Aug,Sep-31,6-Feb,3/12/2020,5/9/2020,2/13/2020,5/5/2020,11-Apr,4-Jan
28,CLE,19-63,13-28,Jun-35,15-37,26-Apr,12-Jun,12-Apr,13-May,0-10,8-Feb,2/8/2020,Dec-46,17-Jul,4-May,Jun-43,6-Jan,3/11/2020,4/12/2020,3/12/2020,4/6/2020,11-Apr,0-5
22,DAL,33-49,24-17,Sep-32,15-15,18-34,6-Apr,4-Jun,5-May,10-Aug,12-Jun,4/12/2020,26-31,18-Jul,7-Jul,22-Dec,6-Feb,8/4/2020,7/9/2020,6/9/2020,4/6/2020,12-Mar,3-Mar
4,DEN,54-28,34-7,20-21,20-10,34-18,3-Jul,4-Jun,3-Jul,4-Dec,6-Dec,10/8/2020,39-18,15-10,13-3,23-11,1-Jun,9/6/2020,8/4/2020,12/4/2020,7/4/2020,6-Sep,3-Mar
16,DET,41-41,26-15,15-26,27-25,14-16,8-Oct,8-Aug,9-Sep,6-Apr,5-May,5/5/2020,26-30,15-11,9-Jun,16-21,3-Apr,8/4/2020,4/11/2020,6/10/2020,7/3/2020,6-Oct,4-Feb
3,GSW,57-25,30-11,27-14,22-8,35-17,4-Jun,2-Aug,2-Aug,6-Dec,13-3,10/8/2020,41-16,16-9,7-Jul,34-10,1-Aug,7/7/2020,10/5/2020,11/2/2020,7/4/2020,5-Sep,1-May
5,HOU,53-29,31-10,22-19,21-9,32-20,2-Aug,4-Jun,3-Jul,10-Aug,14-4,10/6/2020,33-24,20-5,7-May,29-12,5-Jan,9/6/2020,11/4/2020,8/6/2020,8/4/2020,3-Dec,1-Apr
11,IND,48-34,29-12,19-22,33-19,15-15,9-Sep,5-Nov,13-5,5-May,5-May,5/5/2020,38-20,14-Oct,6-Jun,23-16,3-May,8/6/2020,12/3/2020,7/7/2020,9/3/2020,10-Apr,2-Mar
12,LAC,48-34,26-15,22-19,20-10,28-24,4-Jun,3-Jul,3-Jul,11-Jul,5-Nov,10/8/2020,32-27,16-7,2-Jun,23-18,3-Apr,11/3/2020,6/9/2020,7/9/2020,6/5/2020,13-2,3-Jan
20,LAL,37-45,22-19,15-26,18-Dec,25-27,9-Jan,5-May,4-Jun,11-Jul,7-Sep,9/9/2020,28-29,16-Sep,4-May,16-25,5-Mar,10/4/2020,8/7/2020,6/9/2020,3/6/2020,11-May,3-Feb
23,MEM,33-49,21-20,29-Dec,21-Sep,24-28,7-Mar,7-Mar,7-Mar,9-Sep,11-Jul,8/8/2020,23-36,13-Oct,9-Jun,14-19,2-Apr,9/6/2020,5/10/2020,2/14/2020,4/7/2020,7-Jul,3-Feb
18,MIA,39-43,19-22,20-21,23-29,16-14,11-Jul,9-Sep,9-Jul,6-Apr,7-Mar,9/1/2020,26-30,13-13,9-Jun,16-20,4-Mar,5/9/2020,9/5/2020,7/7/2020,3/9/2020,4-Nov,5-Jan
1,MIL,60-22,33-8,27-14,40-12,20-10,13-5,14-2,13-5,4-Jun,4-Jun,8/2/2020,43-14,17-8,6-May,45-5,Jul-00,8/6/2020,10/4/2020,12/3/2020,10/1/2020,6-Oct,2-Mar
21,MIN,36-46,25-16,30-Nov,14-16,22-30,6-Apr,5-May,5-May,11-May,9-Sep,8/10/2020,27-30,16-Sep,5-Aug,19-22,4-Apr,7/7/2020,6/9/2020,8/6/2020,4/7/2020,9-May,4-Feb
24,NOP,33-49,19-22,14-27,20-Oct,23-29,7-Mar,5-May,8-Feb,11-Jul,10-Aug,8/8/2020,26-33,16-Jul,6-Apr,15-20,3-Apr,7/9/2020,6/9/2020,6/8/2020,4/7/2020,10-May,3-Jan
30,NYK,17-65,Sep-32,Aug-33,Nov-41,24-Jun,14-Feb,15-Mar,12-Jun,0-10,8-Feb,4/6/2020,Nov-47,18-Jun,7-Apr,Jun-41,6-Feb,5/10/2020,2/12/2020,1/12/2020,3/9/2020,13-Jan,3-Mar
10,OKC,49-33,27-14,22-19,21-9,28-24,4-Jun,2-Aug,3-Jul,7-Sep,8-Oct,9/9/2020,37-20,13-Dec,7-Jun,23-12,4-Feb,12/3/2020,9/6/2020,9/5/2020,6/5/2020,10-Jun,May-00
15,ORL,42-40,25-16,17-24,30-22,18-Dec,7-Nov,9-Sep,6-Oct,8-Feb,6-Apr,6/4/2020,27-32,15-8,6-May,21-21,5-Feb,9/7/2020,5/8/2020,5/11/2020,8/3/2020,5-Sep,1-Apr
7,PHIL,51-31,31-10,20-21,31-21,20-10,8-Aug,6-Dec,7-Nov,4-Jun,2-Aug,6/4/2020,37-21,14-10,8-Oct,22-16,4-Apr,12/4/2020,7/6/2020,11/4/2020,6/4/2020,5-Sep,4-Feb
