Rk,Team,Overall,Wins,Losses,Win(%),Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,â‰¤3,â‰¥10,Oct,Nov,Dec,Jan,Feb,Mar,Jul,Aug
26,ATL,20-47,20,47,0.30,14-20,27-Jun,Nov-32,15-Sep,3/13/2020,12-Feb,7-Jun,3/5/2020,5-Mar,5-Mar,15-41,6-May,1/5/2020,29-Aug,3-Feb,13-Feb,11-Mar,6/9/2020,6/7/2020,4-Jan,,
5,BOS,48-24,48,24,0.67,26-10,22-14,30-13,18-11,9/6/2020,4-Sep,3-Dec,6/3/2020,4-Jun,4-Jun,38-16,8-Oct,6/5/2020,29-7,1-Mar,4-Oct,3-Oct,9/7/2020,9/3/2020,3-Feb,0-1,2-May
14,BKN,35-37,35,37,0.49,20-16,15-21,23-23,14-Dec,6/10/2020,4-Aug,9-Sep,2/7/2020,2-Jun,5-Apr,25-28,9-Oct,7/7/2020,17-19,3-Jan,6-Sep,7-Jun,5/10/2020,5/7/2020,1-Apr,0-1,2-May
23,CHA,23-42,23,42,0.35,21-Oct,13-21,16-24,18-Jul,5/9/2020,8-Sep,7-Feb,1/7/2020,4-Apr,7-Feb,18-36,6-May,9/8/2020,25-May,3-Feb,10-Jun,10-May,3/9/2020,5/6/2020,4-Feb,,
24,CHI,22-43,22,43,0.34,14-20,23-Aug,15-28,15-Jul,1/12/2020,9-Jul,7-Jul,1/6/2020,5-Feb,4-Apr,19-36,7-Mar,6/6/2020,19-Jul,4-Jan,10-May,7-Jul,6/11/2020,1/8/2020,3-Feb,,
28,CLE,19-46,19,46,0.29,25-Nov,21-Aug,Dec-32,14-Jul,2/14/2020,10-Apr,8-Jun,4/4/2020,0-4,6-Mar,14-40,6-May,5/5/2020,28-Jun,2-Feb,12-Mar,9-May,3/13/2020,4/7/2020,3-Feb,,
12,DAL,43-32,43,32,0.57,20-18,23-14,16-12,27-20,4/5/2020,2-Jul,5-May,9/6/2020,10-Aug,4-Oct,33-22,10-Oct,2/11/2020,23-9,1-Mar,5-Sep,6-Sep,8/7/2020,7/5/2020,3-Apr,0-1,4-Mar
6,DEN,46-27,46,27,0.63,26-11,20-16,17-11,29-16,6/4/2020,4-Apr,3-Jul,12/2/2020,7-Sep,7-Aug,38-17,10-Aug,9/5/2020,16-13,2-Mar,2-Oct,6-Oct,11/5/2020,6/4/2020,3-Mar,,5-Mar
27,DET,20-46,20,46,0.30,22-Nov,24-Sep,31-Dec,15-Aug,3/11/2020,10-May,10-Apr,1/7/2020,3-Apr,5-Mar,19-38,8-Jan,4/6/2020,26-Sep,3-Feb,10-Apr,9-Jun,5/11/2020,3/8/2020,0-5,,
30,GSW,15-50,15,50,0.23,26-Aug,24-Jul,16-Jun,Sep-34,1/6/2020,3-Mar,7-Feb,3/12/2020,11-Feb,11-Apr,Dec-43,7-Mar,1/3/2020,30-Aug,3-Jan,13-Mar,10-May,1/13/2020,3/8/2020,3-Feb,,
8,HOU,44-28,44,28,0.61,24-12,20-16,16-9,28-19,6/3/2020,3-Apr,3-Jun,10/8/2020,6-Oct,5-Aug,34-20,8-Oct,4/5/2020,22-14,1-Mar,5-Oct,5-Oct,7/7/2020,9/2/2020,4-Jan,Jan-00,4-Mar
7,IND,45-28,45,28,0.62,25-11,20-17,28-19,17-9,9/7/2020,7-Aug,5-Nov,7/3/2020,2-May,4-May,32-23,13-5,5/7/2020,20-12,3-Jan,4-Nov,5-Oct,9/5/2020,5/7/2020,2-Mar,,2-Jun
4,LAC,49-23,49,23,0.68,27-9,22-14,17-7,32-16,5/3/2020,3-Apr,1-Aug,11/5/2020,6-Aug,13-5,37-18,5-Dec,8/3/2020,32-8,2-Apr,4-Oct,5-Oct,9/4/2020,7/4/2020,1-Apr,0-1,2-May
3,LAL,52-19,52,19,0.73,25-10,27-9,16-9,36-10,5/5/2020,3-Apr,1-Jul,12/3/2020,3-Oct,14-4,41-12,7-Nov,7/3/2020,25-11,1-Mar,14-1,5-Sep,10/4/2020,9/2/2020,1-Apr,Jan-00,5-Feb
16,MEM,34-39,34,39,0.47,20-17,14-22,14-13,20-26,3/4/2020,6-Apr,3-Jul,8/7/2020,10-Aug,9-Apr,28-26,13-Jun,3/4/2020,18-21,3-Jan,10-Apr,8-Aug,11/4/2020,5/6/2020,2-Mar,0-1,5-Feb
